retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url,Promotion Details,Payment Promo,Other Promo,Voucher
Di Động Việt,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,,macbook_air_13_m4,MacBook Air 13 inch (M4) 16GB 256GB,Mac,256GB,,24990000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-256gb.html,,,,
Di Động Việt,MacBook Air M4 13-inch 24GB/512GB Chính Hãng,,macbook_air_13_m4,MacBook Air 13 inch (M4) 24GB 512GB,Mac,512GB,,32390000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-24gb-512gb.html,,,,
Di Động Việt,iPhone 13 128GB Chính Hãng (VN/A),,iphone_13,iPhone 13 128GB,iPhone,128GB,,11990000.0,No,https://didongviet.vn/dien-thoai/iphone-13-128gb.html,,,,
Di Động Việt,iPhone 14 128GB Chính hãng (VN/A),,iphone_14,iPhone 14 128GB,iPhone,128GB,,13990000.0,No,https://didongviet.vn/dien-thoai/iphone-14-128gb.html,,,,
Di Động Việt,iPhone 14 256GB Chính Hãng (VN/A),,iphone_14,iPhone 14 256GB,iPhone,256GB,,16990000.0,No,https://didongviet.vn/dien-thoai/iphone-14-256gb.html,,,,
Di Động Việt,Mac mini M4 10‑Core CPU | 10‑Core GPU 16GB/512GB Chính Hãng,,mac_mini_m4,Mac mini (M4) 16GB 512GB,Mac,512GB,,26490000.0,Yes,https://didongviet.vn/apple-macbook-imac/mac-mini-m4-10core-cpu-10core-gpu-16gb-512gb.html,,,,
Di Động Việt,MacBook Pro M3 Pro 16 inch 18GB/512GB Chính Hãng,,macbook_pro_16_m3_pro,MacBook Pro 16 inch (M3 Pro M3 18GB 512GB,Mac,512GB,,64080000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-pro-m3-pro-16-inch-2023-512gb.html,,,,
Di Động Việt,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,,macbook_air_13_m4,MacBook Air 13 inch (M4) 16GB 512GB,Mac,512GB,,29390000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-512gb.html,,,,
Di Động Việt,MacBook Air M2 2024 13-inch 16GB/256GB Chính Hãng,,macbook_air_13_m2,MacBook Air 13 inch (M2) 16GB 256GB,Mac,256GB,,16990000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m2-2024-13-inch-16gb-256gb.html,,,,
Di Động Việt,MacBook Pro 2025 14 inch M5 10‑core CPU | 10‑core GPU 16GB/512GB Chính Hãng,,macbook_pro_14_m5,MacBook Pro 14 inch (M5) 16GB 512GB,Mac,512GB,,40290000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-pro-2025-14-inch-m5-10core-cpu-10core-gpu-16gb-512gb.html,,,,
