Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Link;screenshot_name
iPhone 17 Pro Max 256GB;Cam vũ trụ;Yes;37990000;37390000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro-max;iPhone_17_Pro_Max_256GB_Cam_vũ_trụ_2025-12-19_10-08-10.png
iPhone 17 Pro 256GB;Cam vũ trụ;Yes;34990000;33990000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro;iPhone_17_Pro_256GB_Cam_vũ_trụ_2025-12-19_10-08-10.png
iPhone 17 256GB;Tím Oải Hương;Yes;24990000;24790000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17;iPhone_17_256GB_Tím_Oải_Hương_2025-12-19_10-08-11.png
iPhone Air 256GB;Xanh Da Trời;Yes;31990000;29990000;2025-12-19;"1
Tặng PMH phụ kiện trị giá 200.000đ khi mua kèm sạc dự phòng cùng máy
2
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
3
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
4
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
5
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-air;iPhone_Air_256GB_Xanh_Da_Trời_2025-12-19_10-08-13.png
iPhone 17 Pro 256GB;Xanh đậm;Yes;34990000;33990000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro;iPhone_17_Pro_256GB_Xanh_đậm_2025-12-19_10-08-43.png
iPhone 17 Pro Max 256GB;Xanh đậm;Yes;37990000;37390000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro-max;iPhone_17_Pro_Max_256GB_Xanh_đậm_2025-12-19_10-08-43.png
iPhone 17 256GB;Xanh Lam Khói;Yes;24990000;24790000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17;iPhone_17_256GB_Xanh_Lam_Khói_2025-12-19_10-08-56.png
iPhone Air 256GB;Đen Không Gian;Yes;31990000;29990000;2025-12-19;"1
Tặng PMH phụ kiện trị giá 200.000đ khi mua kèm sạc dự phòng cùng máy
2
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
3
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
4
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
5
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-air;iPhone_Air_256GB_Đen_Không_Gian_2025-12-19_10-08-56.png
iPhone 17 Pro 256GB;Bạc;Yes;34990000;34790000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro;iPhone_17_Pro_256GB_Bạc_2025-12-19_10-09-09.png
iPhone 17 Pro Max 256GB;Bạc;Yes;37990000;37690000;2025-12-19;"1
Thu cũ đổi mới hỗ trợ lên đến 4 triệu đồng
2
Giảm 10% phụ kiện khi mua kèm Phone/Tab/Laptop (Khám phá ngay)
3
Mua iPhone 17 - iPhone Air Series kèm phụ kiện – giảm tới 20% giá phụ kiện (Khám phá ngay)
4
Tặng Voucher giảm ngay 10%, tối đa 150.000đ cho khách hàng mua sản phẩm vào ngày sinh nhật (Khám phá ngay)";"Giảm đến 2 triệu đồng khi thanh toán qua HSBC
Giảm tới 1 triệu đồng khi thanh toán trả góp qua Kredivo
Giảm 2 triệu đồng khi thanh toán qua thẻ tín dụng Shinhan Mastercard
Giảm đến 2 triệu đồng khi thanh toán qua Sacombank
Giảm 1 triệu đồng khi thanh toán qua thẻ tín dụng Eximbank
Giảm 1 triệu đồng khi trả góp qua thẻ tín dụng Techcombank
Giảm đến 1 triệu đồng khi thanh toán trả góp qua thẻ tín dụng BIDV
Trả góp thẻ tín dụng 0% lãi - 0 phí - Kỳ hạn tới 12 tháng - Giảm thêm tới 2,5 triệu
Giảm đến 2 triệu đồng khi thanh toán thẻ tín dụng VIB
Mở thẻ TPBank EVO - hỗ trợ lên tới 5 triệu đồng, trả góp lên tới 12 tháng
Mở thẻ VPBank - giảm 500k, trả góp 0%, 0 phí lên tới 6 tháng
Giảm 2,5 triệu đồng khi thanh toán qua thẻ tín dụng MB Mastercard
Thanh toán/Trả góp 0% qua thẻ tín dụng MBBank giảm thêm tới 2.5 triệu đồng
Hoàn 5% tối đa 1.000.000đ khi thanh toán qua thẻ VISA ";https://hoanghamobile.com/dien-thoai/iphone-17-pro-max;iPhone_17_Pro_Max_256GB_Bạc_2025-12-19_10-09-09.png
