Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Uu_Dai_Them;Link;screenshot_name
iPhone Air 256GB;Xanh da trời;Yes;31990000;30990000;2025-12-01;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Thu cũ đổi mới: Giảm đến 3,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
4
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-air;iPhone_Air_256GB_2025-12-01_14-14-48.png
iPhone 17 Pro 256GB;Cam Vũ Trụ;Yes;34990000;34990000;2025-12-01;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Thu cũ đổi mới: Giảm đến 3,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
4
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-17-pro;iPhone_17_Pro_256GB_2025-12-01_14-14-49.png
iPhone 17 Pro Max 256GB;Cam Vũ Trụ;Yes;37990000;37990000;2025-12-01;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Thu cũ đổi mới: Giảm đến 3,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
4
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-17-pro-max;iPhone_17_Pro_Max_256GB_2025-12-01_14-14-49.png
iPhone 17 256GB;Tím Oải Hương;Yes;24990000;24990000;2025-12-01;;;https://www.thegioididong.com/dtdd/iphone-17;iPhone_17_256GB_2025-12-01_14-14-51.png
iPhone 16 Pro Max 256GB;Titan Sa Mạc;Yes;33990000;30190000soc;2025-12-01;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16-pro-max;iPhone_16_Pro_Max_256GB_2025-12-01_14-15-02.png
iPhone 16e 128GB;Đen;Yes;16990000;14990000soc;2025-12-01;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16e;iPhone_16e_128GB_2025-12-01_14-15-03.png
iPhone 16 128GB;Xanh Lưu Ly;Yes;21990000;20890000soc;2025-12-01;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16;iPhone_16_128GB_2025-12-01_14-15-03.png
iPhone 15 128GB;Xanh dương nhạt;Yes;18990000;17190000soc;2025-12-01;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-15;iPhone_15_128GB_2025-12-01_14-15-05.png
iPhone 13 128GB;Đen;Yes;13990000;12490000;2025-12-01;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Tặng Phiếu mua hàng mua sạc dự phòng (trừ AVA+, Hydrus); đồng hồ thông minh (trừ Apple); Tai nghe bluetooth và Loa bluetooth các hãng JBL, Marshall,Harman Kardon; Ốp lưng (trừ Apple) trị giá 100.000đ
4
Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
5
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-13;iPhone_13_128GB_2025-12-01_14-15-13.png
iPhone 16 Plus 128GB;Trắng;Yes;25990000;25590000;2025-12-01;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Macbook trị giá 700,000đ
2
Tặng phiếu mua hàng AirPods, Apple Watch trị giá 500,000đ
3
Tặng Phiếu mua hàng mua sạc dự phòng (trừ AVA+, Hydrus); đồng hồ thông minh (trừ Apple); Tai nghe bluetooth và Loa bluetooth các hãng JBL, Marshall,Harman Kardon; Ốp lưng (trừ Apple) trị giá 100.000đ
4
Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
5
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16-plus;iPhone_16_Plus_128GB_2025-12-01_14-15-13.png
