Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Link;screenshot_name
iPhone 13 128GB;MIDNIGHT;Yes;15990000;12090000;2025-12-23;"Trả góp 0% trên giá khuyến mại (trả trước từ 0đ)
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html;Disabled
iPhone 13 128GB;BLUE;No;15990000;12090000;2025-12-23;"Trả góp 0% trên giá khuyến mại (trả trước từ 0đ)
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html;Disabled
iPhone 14 256GB;BLUE;Yes;20990000;16190000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-256gb-pid293822.html;Disabled
iPhone 13 128GB;RED;No;15990000;12090000;2025-12-23;"Trả góp 0% trên giá khuyến mại (trả trước từ 0đ)
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html;Disabled
iPhone 14 128GB;BLUE;Yes;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
iPhone 14 128GB;RED;No;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
iPhone 14 128GB;PURPLE;No;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
iPhone 13 256GB;MIDNIGHT;No;18490000;18490000;2025-12-23;;"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html;Disabled
iPhone 14 512GB;BLUE;No;24990000;24990000;2025-12-23;;"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html;Disabled
iPhone 14 128GB;YELLOW;No;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
iPhone 13 256GB;BLUE;No;18490000;18490000;2025-12-23;;"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html;Disabled
iPhone 14 512GB;PURPLE;No;24990000;24990000;2025-12-23;;"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html;Disabled
iPhone 13 128GB;STARLIGHT;Yes;15990000;12090000;2025-12-23;"Trả góp 0% trên giá khuyến mại (trả trước từ 0đ)
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html;Disabled
iPhone 14 256GB;MIDNIGHT;Yes;20990000;16190000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-256gb-pid293822.html;Disabled
iPhone 13 256GB;RED;No;18490000;18490000;2025-12-23;;"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html;Disabled
iPhone 13 128GB;GREEN;No;15990000;12090000;2025-12-23;"Trả góp 0% trên giá khuyến mại (trả trước từ 0đ)
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html;Disabled
iPhone 14 128GB;MIDNIGHT;Yes;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
iPhone 14 256GB;STARLIGHT;Yes;20990000;16190000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-256gb-pid293822.html;Disabled
iPhone 14 128GB;STARLIGHT;Yes;16990000;13390000;2025-12-23;"Trả góp 0% trên giá khuyến mại
Giảm ngay đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm lên đến 1.440.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G480B cam kết 12 tháng
Tặng PMH giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch";"Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 7% tối đa 500.000đ áp dụng kỳ hạn 6 hoặc 12 tháng thanh toán qua Kredivo
Hoàn tiền 500.000đ khi mở thẻ tín dụng VPBank và chi tiêu từ 2.000.000đ trở lên
Nhập mã VNPAYBTS1 giảm tối đa 200.000đ khi thanh toán VNPAY-QR từ nguồn tiền thẻ tín dụng trên app mobile banking của VCB, BIDV, VietinBank, Agribank.";https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Disabled
