Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Link;screenshot_name
iPhone 14 512GB;BLUE;No;24990000;24990000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html;Skipped
iPhone 13 256GB;MIDNIGHT;No;18490000;18490000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html;Skipped
iPhone 15 512GB;Hồng;No;27990000;27990000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html;Skipped
iPhone 14 128GB;Unknown;Yes;16990000;13590000;2026-01-29;"Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch
Trả góp 0% trên giá khuyến mại, trả trước từ 0đ
Giảm thêm đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm 500.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G180B cam kết 12 tháng";;https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html;Skipped
iPhone 16 Plus 256GB;Unknown;Yes;28990000;26290000;2026-01-29;"Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch
Trả góp 0% trên giá khuyến mại, trả trước từ 0đ
Giảm thêm đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm 1.000.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G180B cam kết 12 tháng";;https://viettelstore.vn/dien-thoai/iphone-16-plus-256gb-pid339619.html;Skipped
iPhone 14 512GB;PURPLE;No;24990000;24990000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html;Skipped
iPhone 15 128GB;Unknown;Yes;21990000;16690000;2026-01-29;"Giá chỉ 16.190.000đ áp dụng với màu MÀU VÀNG
Quyền mua bao ốp trong iFinger/Likcase iPhone 15 với giá 79.0000đ
Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch
Trả góp 0% trên giá khuyến mại, trả trước từ 0đ
Giảm thêm đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm 500.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G180B cam kết 12 tháng";;https://viettelstore.vn/dien-thoai/iphone-15-128gb-pid317053.html;Skipped
iPhone 14 256GB;Unknown;Yes;20990000;16290000;2026-01-29;"Tặng phiếu mua hàng giảm thêm 50,000đ cho củ sạc chính hãng Apple 20W/EarPods/Cable khi mua kèm iPhone/iPad/Apple Watch
Trả góp 0% trên giá khuyến mại, trả trước từ 0đ
Giảm thêm đến 1.000.000đ khi lên đời iPhone mới
Giảm thêm 500.000đ cho khách hàng hoà mạng mới mua kèm gói cước trả trước 12T5G180B cam kết 12 tháng";;https://viettelstore.vn/dien-thoai/iphone-14-256gb-pid293822.html;Skipped
iPhone 13 256GB;BLUE;No;18490000;18490000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html;Skipped
iPhone 15 512GB;Vàng;No;27990000;27990000;2026-01-29;;Giảm 50% tối đa 250.000đ giá trị đơn hàng từ 0đ đối với người mới thanh toán qua Kredivo  Giảm 5% tối đa 500.000đ áp dụng kỳ hạn 6 9 12 tháng thanh toán qua Kredivo;https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html;Skipped
