retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url
Mobile World,Apple Watch SE 3 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_3,Apple Watch SE 3 44 mm Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,7290000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây vải,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Trắng Starlight Dây Vải,Watch,unknown_storage,Trắng Starlight,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Trắng Starlight,Watch,unknown_storage,Trắng Starlight,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Vàng Hồng Dây Vải,Watch,unknown_storage,Nhôm Vàng Hồng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch SE 3 GPS 40mm viền nhôm dây thể thao,,apple_watch_se_3,Apple Watch SE 3 40 mm Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,6390000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
Mobile World,Apple Watch SE 3 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_3,Apple Watch SE 3 44 mm Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,7290000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây vải,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Bạc Dây Vải,Watch,unknown_storage,Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Bạc,Watch,unknown_storage,Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone
Mobile World,Apple Watch SE 3 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_3,Apple Watch SE 3 44 mm Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,7290000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc Dây Vải,Watch,unknown_storage,Nhôm Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,10790182.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch SE 3 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_3,Apple Watch SE 3 44 mm Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,7290000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-3-40mm-vien-nhom-day-the-thao
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây vải,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Đen Xanh Dây Vải,Watch,unknown_storage,Đen Xanh,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Đen Xanh,Watch,unknown_storage,Đen Xanh,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Vàng Hồng Dây Vải,Watch,unknown_storage,Nhôm Vàng Hồng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,9190000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Bạc Dây Vải,Watch,unknown_storage,Nhôm Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây vải,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Trắng Starlight Dây Vải,Watch,unknown_storage,Trắng Starlight,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-vai
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch SE 2 GPS 44mm viền nhôm dây thể thao,,apple_watch_se_2,Apple Watch SE 2 44mm (GPS) Trắng Starlight,Watch,unknown_storage,Trắng Starlight,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2-44mm-vien-nhom-day-silicone
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Xám Không Gian,Watch,unknown_storage,Nhôm Xám Không Gian,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Vàng Hồng Dây Vải,Watch,unknown_storage,Nhôm Vàng Hồng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Vàng Hồng,Watch,unknown_storage,Nhôm Vàng Hồng,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc Dây Vải,Watch,unknown_storage,Nhôm Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Xám Không Gian,Watch,unknown_storage,Nhôm Xám Không Gian,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,10790182.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Vàng Hồng,Watch,unknown_storage,Nhôm Vàng Hồng,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Vàng Hồng Dây Vải,Watch,unknown_storage,Nhôm Vàng Hồng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,9190000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS + Cellular 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS + Cellular) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-lte-42mm-day-vai
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Bạc Dây Vải,Watch,unknown_storage,Nhôm Bạc,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Xám Không Gian,Watch,unknown_storage,Nhôm Xám Không Gian,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Xám Không Gian,Watch,unknown_storage,Nhôm Xám Không Gian,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Vàng Hồng Dây Vải,Watch,unknown_storage,Nhôm Vàng Hồng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Vàng Hồng,Watch,unknown_storage,Nhôm Vàng Hồng,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Vàng Hồng,Watch,unknown_storage,Nhôm Vàng Hồng,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 46mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,10090000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS + Cellular) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,12190000.0,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao
Mobile World,Apple Watch Series 10 GPS 42mm viền nhôm dây vải,,apple_watch_series_10_aluminum,Apple Watch Series 10 (Nhôm) 42mm (GPS) Nhôm Đen Bóng Dây Vải,Watch,unknown_storage,Nhôm Đen Bóng,,No,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-10-42mm-day-vai
Mobile World,Apple Watch Series 11 GPS 42mm viền nhôm dây thể thao,,apple_watch_series_11_aluminum,Apple Watch Series 11 (Nhôm) 42mm (GPS) Nhôm Bạc,Watch,unknown_storage,Nhôm Bạc,9190000.0,Yes,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao
